DW_CATEGORIA;id_categoria;id_subcategoria;ds_categoria;ds_subcategoria
74badfde0ccfc95d8f67e0bddcc58848782940c80e7e0ea04cc6a8750df51d35;27;2911;Categoria - 027;Sub-categoria - 02911
33d453d56dae5f50261a082e4dfe5324ae32a229e82e362800cb2424eee33d8c;4;1978;Categoria - 004;Sub-categoria - 01978
3a882a1a6c614639e10ab84a31418a1992c2d3e44ba687ad04dfabe98021011e;21;1261;Categoria - 021;Sub-categoria - 01261
a6d04a24ba526346f00f981ceeba941a2f8a17dae0a3f786ae4ba78589d63a9c;4;1575;Categoria - 004;Sub-categoria - 01575
972e4aa4e9a2dcca1de7be4dd44b2f70de422997a05ca2e975c5783e0fb18d1a;29;2990;Categoria - 029;Sub-categoria - 02990
27d99d9c19b13d9e0afd4786426e8ec087f592236ac53d9483ef37e94dd74b27;16;2105;Categoria - 016;Sub-categoria - 02105
7839f59f31233e29687593e71f037223f9354af23390485a5fd29610aa27e302;6;781;Categoria - 006;Sub-categoria - 00781
fef8a7d20ed5404cdb0d2457ffcbf24a2d2382b98bec21462aff134080b218b7;4;489;Categoria - 004;Sub-categoria - 00489
09389116d0d269756742b63eaaffe617f03806118f064c923851a6faccd28201;18;3193;Categoria - 018;Sub-categoria - 03193
0f98e353b05aee30c2c790d3655609b4313e928e0d52d9f78425174597723461;29;2315;Categoria - 029;Sub-categoria - 02315
6cd420bf1b3cc4b72f71ec8f5358a5dc858bff49162b2fc27276db381dd24e6c;16;3190;Categoria - 016;Sub-categoria - 03190
d53232973f44ac4a8fb7600d6770948a92827fe470d944e8cbe1efff928120b5;4;901;Categoria - 004;Sub-categoria - 00901
97a0a019b7b1184c6e4de30ff6ad70b18ba6e5ddb0f711321a13c17d69af8ae1;18;607;Categoria - 018;Sub-categoria - 00607
fc55a03d3ef373d48c1740171fb98ff0f9ab4207a96fe5948e3a68210ac7176f;43;318;Categoria - 043;Sub-categoria - 00318
acfa71bb2938c9dd1f2e697ab7d7e876ee8c815effbdcdeb0d16e20ec8233689;35;1330;Categoria - 035;Sub-categoria - 01330
7c05d70ac18cf863dc7d013862bd1b5186302e721a863147c0c55b87e7753bb3;17;2092;Categoria - 017;Sub-categoria - 02092
0672e67255025c5ee46604cc098eae825a4f31a04ac0e47858ce671976d0e729;18;169;Categoria - 018;Sub-categoria - 00169
1b5959d92fbb12e5afbc1db8e9c649774f7f923d6fdd2b4f06dfb8f86fdfe82d;43;778;Categoria - 043;Sub-categoria - 00778
68144c2c74d06bfe10f57b532da1390ac70513dc91d3122cdc0db3420bd301c7;21;2097;Categoria - 021;Sub-categoria - 02097
feefe9623d6179a56a7c173e37ff6644f83b032b0286478e5c5303e4bb5407dd;4;152;Categoria - 004;Sub-categoria - 00152
d156069ef9a0705a381546e1005c7d9d99cbcd1173c7ef36ab7aa0e0f2ef476b;17;2970;Categoria - 017;Sub-categoria - 02970
d644a6827dfa5670a8e4afd415f3e3aac3e50bf15e4afe8435a1cfc11c77257c;4;1348;Categoria - 004;Sub-categoria - 01348
8547b5361fc7274c4235c5baab5f4ee68775bd3a5ee4c493dd2c0ef8b1d00ee8;4;994;Categoria - 004;Sub-categoria - 00994
bf2e7d348bf13c3ec9a1680df48ef59502f6341b626039e50c61df832273f0a4;29;3001;Categoria - 029;Sub-categoria - 03001
8837bae59fe931ff919cdd50443fd073002d297aa3f37663b6072207aa948ae1;29;2982;Categoria - 029;Sub-categoria - 02982
576bd3cb1849a152a4b26cc5038628e32613fdcdfa85eeec60acd12e1c26f44f;25;2666;Categoria - 025;Sub-categoria - 02666
43baa860b1ebbc958fc12d72fd687abe5b4a643f346c9eac9d7bdf5660879f7d;26;2583;Categoria - 026;Sub-categoria - 02583
37080da8204f431fb3dfe08af1b62ba91e31ccc0eb3cea15ece9b4586c2e750a;27;2871;Categoria - 027;Sub-categoria - 02871
73a6b14552139cbadfa253dd31e68a8fb7dda7ae7c80860eb65d6b18ec9dac37;4;3403;Categoria - 004;Sub-categoria - 03403
f3c3a77c4eeeb57afac80b952276b29f0cd259a18d0268fb3a2e1d17f742d1ba;17;3336;Categoria - 017;Sub-categoria - 03336
aab00308dd7653c8e96f6230c9ee45385fad5b325fe4f28dc03f9f2dd76e8617;29;1553;Categoria - 029;Sub-categoria - 01553
5652bf90491cf5f2226f009f3e5c9444106ad80e6bb7108a4346466a07bfc4dc;22;2458;Categoria - 022;Sub-categoria - 02458
15be7b04246d29b89eb379aca5b1a67d8ca170b8eea8734fb48a8921bdb6ee05;27;1600;Categoria - 027;Sub-categoria - 01600
de058409b59f34b5c5729749623395b8869641eae5049479449683e808a368f3;34;1319;Categoria - 034;Sub-categoria - 01319
766fdf37e774ad0a7418ce08c9fb8ba08bbd4a5274d878f5d71a4ca85d8743f0;4;2381;Categoria - 004;Sub-categoria - 02381
158dde3c32145ccf54bf3a4141bd1c58100787ca326166b259c2e52631cdb1a7;4;2099;Categoria - 004;Sub-categoria - 02099
8a86f43bbd50720739c76ad45d900c14707b88bb9e8edb4906219ceddbfca8a1;25;3479;Categoria - 025;Sub-categoria - 03479
2931ac4484689474ce6fd065c87e06d64169b7b9cd66057f129f1698a20d127d;9;421;Categoria - 009;Sub-categoria - 00421
51e92cfb96aa8aeef872f10c11718f9c529001ad16d35c3379ef9f2a0518cbbc;18;953;Categoria - 018;Sub-categoria - 00953
685b989370d31bc2b49f9e9ddc583ac106296943a0a027c076b013540205d428;17;499;Categoria - 017;Sub-categoria - 00499
e3e6786523ddd17c1100825ff13d8022fb7822391896dccadac665bcdd42b71f;29;2934;Categoria - 029;Sub-categoria - 02934
7173502624ff7430fbf750094d7ea4fca8bb434be88616c62103c62c013a1221;35;1574;Categoria - 035;Sub-categoria - 01574
22253c634101b45b583676df1ffdda691e3be741ff0c21ab575c6f5e55126ef5;18;597;Categoria - 018;Sub-categoria - 00597
490372ccd15192b1f29c65a3ee689ec45da9cb327b49f63628ee682be1bf7743;18;1096;Categoria - 018;Sub-categoria - 01096
d12f65efc1bdaaa52e8517b4ebcf2c81a8b4e3895984b56f81ebea14d7000ffe;22;3145;Categoria - 022;Sub-categoria - 03145
5f2a1e6bcc1be1f139d2144cdb3c3c86d22cbafd6f2f5803e7356aaa8b8e6a93;25;1387;Categoria - 025;Sub-categoria - 01387
7d50283b60f1d9ead45c74ed190f9dcc4b0270162a9042238f83f606d860945e;22;1434;Categoria - 022;Sub-categoria - 01434
43f3a6292a534a31502e0014bd450e8cca1d48bf661038df3bb1e65f7b4673da;21;3241;Categoria - 021;Sub-categoria - 03241
80a589695178cf24e3b66014102b039270e5842a7f0cdd47341f7753caef8896;11;1024;Categoria - 011;Sub-categoria - 01024
04f37c359b101af9232c25c0d7c960f161593d4edd29d911bcd051383b749ed0;29;1679;Categoria - 029;Sub-categoria - 01679
b99b709dbaf0f2b14d2d9fd95d9fa17e561f7c5642b94e7cf248f92fe98a91a1;27;643;Categoria - 027;Sub-categoria - 00643
1f2551d53f60d4c4132948f5813fc9810d1f20ddb90debf0f490768796c301e2;34;2506;Categoria - 034;Sub-categoria - 02506
e6c4576942398c445bcea115c669e0c5aa0301ee11a98542491d856f3e2225bc;43;192;Categoria - 043;Sub-categoria - 00192
86312fec21242b87e288ef8014df1346629c5c35e7193c563ac49350b0e501b2;32;3275;Categoria - 032;Sub-categoria - 03275
c1fb09792100d1db09350bd82984a87bdbcf973808bc79722ab3a559cb52a70d;18;2011;Categoria - 018;Sub-categoria - 02011
b7dc6bb8b5b4c3527075bacad04dc8e421a1b929b4526f6b661791186cf634f2;27;1633;Categoria - 027;Sub-categoria - 01633
5cf225bb9b32b983e558e41e934db1fdaf7cd6480d6314618368218989d779a6;4;198;Categoria - 004;Sub-categoria - 00198
57754bf8c79981c338cad27a066321ca16d29857d3367c8d0f53b8b69a002868;4;2294;Categoria - 004;Sub-categoria - 02294
e8d39de134cee44b093d698366ea1c5dc7bf35b3f00902dcd20316bfb0c5f729;18;1867;Categoria - 018;Sub-categoria - 01867
5a4e89533e0bf97052946aa2a32fbfc8ee2757f67292d6cb116d4034e041c608;9;1294;Categoria - 009;Sub-categoria - 01294
c10660a6f207c77241d09485eeddfc8028abc0e9e2923b2e723312e7cf8d1dff;18;1101;Categoria - 018;Sub-categoria - 01101
ca8b4c82e5aa1c3327435521a5776d78fc3e91e03622fad971816724ee30be92;43;487;Categoria - 043;Sub-categoria - 00487
bbf81605672e3d7ecc8bfc6acf1ecb680f97c04be64ab3a230b2fb0f4aa9392d;27;802;Categoria - 027;Sub-categoria - 00802
a059053fa2650e62f6e4aa0670aafebb811da6c1fc3d667a67602a06eb24b5e7;27;1673;Categoria - 027;Sub-categoria - 01673
3cf0c2db5796782ac43140f9f9d8c0d3286be7f6bfc602bdfb89f5dc2db2cdc9;25;2902;Categoria - 025;Sub-categoria - 02902
2ae6e24b5376cf4f38632cce1edbabafee2645b09e82b9509a506e59da86dbe0;27;944;Categoria - 027;Sub-categoria - 00944
3f37677f2b81b79077774f5a79fd3456ab08b8ac31b0dfa6ddc7ad99851c7e82;14;3306;Categoria - 014;Sub-categoria - 03306
36e8c4df515c7031fe4b8e42608f34830722149c623ec31e9d3cf69ddb309e0d;29;2918;Categoria - 029;Sub-categoria - 02918
04f1b33b7f127bb62736f6ef289eed5a7593ad049e71a1a3188758af77b0639d;25;3208;Categoria - 025;Sub-categoria - 03208
320ba7a94200cdde48b8ea11b0190caca534aa9132a55dc714348da6624c532d;32;3231;Categoria - 032;Sub-categoria - 03231
c58982bcd4dc8959587bfea7e59f1c3b6befd21b78f9c12373c1d151a0e2ad97;43;1438;Categoria - 043;Sub-categoria - 01438
728014f209ab35865d8ac1be8c6fd2b6d7c16e1edf84a8c5056218489cd58039;18;1892;Categoria - 018;Sub-categoria - 01892
78c5d89bdc28a69f0fb12424afe09e46b8e91bfc3e7da58000b49c57020f1ef7;6;1709;Categoria - 006;Sub-categoria - 01709
8b49c6cf41876a201c50acff5ecccbb4286f114113e7c49a4926801a08457786;1;2056;Categoria - 001;Sub-categoria - 02056
faf54843a914f2c6f321eaf0a69f93fb258691df91730eade134c071f86e3599;9;1275;Categoria - 009;Sub-categoria - 01275
a3133236640814134426280c0568ba58c2a2ab3a935ef2d96f2793cba32e896a;6;738;Categoria - 006;Sub-categoria - 00738
3557580269c07edc5c6e3e63700d0dc96ac197e0de5bbe7b44cbf9201f8ec9db;4;2673;Categoria - 004;Sub-categoria - 02673
16ba76986c886bddeab2981fd5e9e8a0160cc8b23ff9fa53a1c31ea2c48d2a6a;4;122;Categoria - 004;Sub-categoria - 00122
cdf1071e48c0801d407e6b908015932b9b6a47a9b87344cf43cb4aff9ba6a537;6;1820;Categoria - 006;Sub-categoria - 01820
23c89cc036aa8086fd6ed634311ec22edfdab72cba4115e8f6bdf92431d53d51;35;1592;Categoria - 035;Sub-categoria - 01592
3cb39f47fb6a1f10641fdabfa6644fcdead88eceed7599d750f826b1e507109e;6;549;Categoria - 006;Sub-categoria - 00549
b16f6e6d95d24a2a425f12e684425c556e2229559a1b9f97e4406d9229af1f0a;17;1881;Categoria - 017;Sub-categoria - 01881
a54f5e52cf0da5b35d9fae346e7440944e2b9d4610498a0c7394fc26397e5076;5;550;Categoria - 005;Sub-categoria - 00550
d6d9fdd15075d9f9eb7ad9b76cbe4e5ade1f70d6893e5c1439003191f8f0a92b;6;709;Categoria - 006;Sub-categoria - 00709
4b9d1be1cbef641c83f9d602767b428a55581f127de0ac2c80bcc733c0b94e6b;33;743;Categoria - 033;Sub-categoria - 00743
5d649e8024616d519fe88e001f313dd87d2ce15b8fb955e2a1482a3bda245d15;18;2823;Categoria - 018;Sub-categoria - 02823
b0c53e8819b058a485e9f75eebcd9e3da66345a6394cc3b65bcee358a4af1e25;18;654;Categoria - 018;Sub-categoria - 00654
0c3990cb59ca35674d0b866b36db3759b91d0bba3c619dd450ec3e7b1f917e2a;34;40;Categoria - 034;Sub-categoria - 00040
041b6a574c4b95e593be8dc497c315403ebb1629d2071ca63c4aa33b1903a4f1;9;1928;Categoria - 009;Sub-categoria - 01928
cd6e1ab385ab4a6e5798c901de7c3ab7691a55c1e2ec858a83b71a237c99fd2c;9;1305;Categoria - 009;Sub-categoria - 01305
352da0c867f2d8f6f1f93c8525cf4d8410e2c3867fa2cd89ae84458cff45c63c;35;1048;Categoria - 035;Sub-categoria - 01048
2b0cfd88903f0179c0aee7350399c7dff48a6884f13f189663ce19dfce71146f;32;2260;Categoria - 032;Sub-categoria - 02260
208837c5b2949ba7689b97ce32bbc93e27c18fcb6115c51c334c549a8d5cc6b2;35;1598;Categoria - 035;Sub-categoria - 01598
5836a1117b75e165f3eaee64df7266cd7c39841c0819a8928932cdcc90451371;35;1217;Categoria - 035;Sub-categoria - 01217
5ec8295046f77b8fb3e30ddf9a2f992d69fbfb822b3dac8698035091b4f63089;35;562;Categoria - 035;Sub-categoria - 00562
20b292081837c7329b65c6fc45b2b94e30a1ae08123041524d222be719cd0e6a;18;3483;Categoria - 018;Sub-categoria - 03483
4fb3999788e7656b98cc32d7202e5f4f77e5b067fd28deeba1fa061b7d96ab2a;10;1612;Categoria - 010;Sub-categoria - 01612
ad58eabf0f7f2e8ccb906e6f7f24695590cd1e0970d3d17fd780d3da12dc9a3e;4;1433;Categoria - 004;Sub-categoria - 01433
4486438e8f6c0060b1890741394e3b532eacd5d48e56857e0b812c147991b3b8;9;2775;Categoria - 009;Sub-categoria - 02775
dbb0a44eb9bc13d1647bccf3dc5ff179f21a0a481cbaeb7b733674b6dd6979fe;18;2968;Categoria - 018;Sub-categoria - 02968
b3ee9fb915a81a04a31bbe990b15e06cdcbf1c6f179bd14e1cdb235a6dacbd5f;12;2880;Categoria - 012;Sub-categoria - 02880
bbbc1df9d268bf046938815f49b327125f4710e7dd3ba79ec4f8c0de415162d4;4;2300;Categoria - 004;Sub-categoria - 02300
09241248206f394c4bab75314c9ce05ec2fd54ff5a239aa6e95701ff97c55105;21;1100;Categoria - 021;Sub-categoria - 01100
15d4d7409e3c13438e5ac9184b7b9f1e5792a3483d845b7ccd4d1a1ff9729738;43;3185;Categoria - 043;Sub-categoria - 03185
e3de2568ceb77558068a03c2587821a2ef6269aa38513fa533ed9ae11f26e9a0;28;2331;Categoria - 028;Sub-categoria - 02331
cbe5c390385740ca9b291d52eccbd56394c4271f86c401a03c3e5cacac0dc336;18;1173;Categoria - 018;Sub-categoria - 01173
5aeb7f6619f0b51007b8734524b3e74bfef00e67f9ed364df69ae70a385ae08c;4;90;Categoria - 004;Sub-categoria - 00090
38608c176687c9bd8256706a2442d509a53795c3a4e71d946eca3cc486cbc9c4;5;638;Categoria - 005;Sub-categoria - 00638
3a539e2c4c0a937e1754a7abe80aebbdb2bf1f4fa42690dcf7b08bdcc8960fa3;18;1084;Categoria - 018;Sub-categoria - 01084
b9ecd43a561c27cab3f1f6b52f28f90d7e28227ef932e4b6f45e7525292314d0;9;527;Categoria - 009;Sub-categoria - 00527
2726c172bf64de450d0cc03f4982f75bf8323f348eedf642b0c4d0a2b50e4dc0;9;1298;Categoria - 009;Sub-categoria - 01298
20cfbb8c039328e73f25324ebb54500b37f07a344d2f62036335a51c8947ce27;29;902;Categoria - 029;Sub-categoria - 00902
b6b2cfe92289d31f20c6ca47c51c61693c8e96702dadc7a0b3d428d7b9827d06;9;2163;Categoria - 009;Sub-categoria - 02163
bcd8e98d6c27d219227b2b888b32e74cf7d6c5d5e158209c0aaccb1f6d20c984;2;218;Categoria - 002;Sub-categoria - 00218
fb7a9f381a3377ec0929a66967a9183d736f87fcd5d3ef1c6ade6fcb97eac8ba;43;2866;Categoria - 043;Sub-categoria - 02866
8f902f230f6b7a5f37dfc40a083cbdaed1dbc19084d08e6bc9d3b4f9a2cee6a6;27;2790;Categoria - 027;Sub-categoria - 02790
2cac2a9cc2152a3658c271585ceda09f2cafbc00de505a9d98efc06ae0e7249a;27;810;Categoria - 027;Sub-categoria - 00810
2d44d3303946542bc294312a897263d8d5d043a2195e4ea6db49027d1eecf04c;9;2868;Categoria - 009;Sub-categoria - 02868
d1ae6b743c21d7a7d6dd1e3b66c8756bee9c8c5e6c0be326559fb57c0870d2eb;35;2313;Categoria - 035;Sub-categoria - 02313
b6595b19dd561202c51d244fd426e1027b91f31b1606e58188c7a4b97aa6cc7f;32;2138;Categoria - 032;Sub-categoria - 02138
87cc4afd75689e7e33520665e98e27d85a71acf97cfe7fed541b9b43af02cd63;4;688;Categoria - 004;Sub-categoria - 00688
ece3383e1ea5f8f94c0e2d5e4e50e6493c9662a4e65270c8a9c3963a0b3b89d7;27;1214;Categoria - 027;Sub-categoria - 01214
dbc9abb3d42692248183f197c337ff055db77ec4f3208882b430d429b32fe2a9;18;3553;Categoria - 018;Sub-categoria - 03553
1451ded55da5523fba2e9c41d2ff0d67aa43510ab50ec885e7acfb3b831a1225;29;2919;Categoria - 029;Sub-categoria - 02919
8a89ab94458552829cbe5fe0696d95e4be79aa7f96a93f6b07a30607290bdc83;19;3274;Categoria - 019;Sub-categoria - 03274
d730c9cca3f33f6c409d12b892d8c5a9ab3316d3be218b2d4cc0989c69c96316;16;3409;Categoria - 016;Sub-categoria - 03409
b76f487d6a6cff1230044ebf573202f7facc2758406b6649d1c1f288aef2de17;9;2170;Categoria - 009;Sub-categoria - 02170
cefd2cc9308e17ef901183cbed17a06b8ced11dce5a6aff8c3ec9310abe06687;6;840;Categoria - 006;Sub-categoria - 00840
f757263023ef3bac91b33c0cc55b447da17f0a6015483ae32318ad66dc8d84f2;12;1144;Categoria - 012;Sub-categoria - 01144
d62259ae3526d9a1c2506ccdfad4db85d68844c19ffe9afb41229a91c4214a94;24;2391;Categoria - 024;Sub-categoria - 02391
1bcf2243928b917a398a33b4898f93bf1f0b5b6040ad9945621d4f9b27134a6a;4;227;Categoria - 004;Sub-categoria - 00227
e35d87609ac99d1c6f7aa6744cd2218e03884c07f7bec7f584643cc84c1ad237;4;1317;Categoria - 004;Sub-categoria - 01317
059904a7aa52897fab161c9e27f6ccb6c1ee06f0dd8ef04fa5807e4f024b7b68;9;1731;Categoria - 009;Sub-categoria - 01731
2403c4ba1aa6591f2498941f6de43d8b402360248d0597d21c2562d1f42d9712;18;629;Categoria - 018;Sub-categoria - 00629
f8d14e819d27653c839d7d66a36b4057ca065b20fd3096660d259b5862b7eb5c;14;3385;Categoria - 014;Sub-categoria - 03385
08f1550693f4f5fad221fac01af7529859554bc628ffa9579757853811100717;35;1467;Categoria - 035;Sub-categoria - 01467
d0f5ac72d07772818b761f02a3e1e5c1917813a91a04d95532702bd3cd344b36;27;215;Categoria - 027;Sub-categoria - 00215
e29c1320585f865ab13614dd409847063dd5e235f91927d00655d2ab7d128d70;18;704;Categoria - 018;Sub-categoria - 00704
092c71bcdf6c183d38bbc8b515453646ded94a8c4d58a8b390fd7274c6d97f6c;18;2477;Categoria - 018;Sub-categoria - 02477
a471cab77cf344b55a1d5ee2efda4df7b203c5c12472a0c774f08fea19cea33b;27;1490;Categoria - 027;Sub-categoria - 01490
87204a8a258a0893781ab7dde4f74a4d23bd688559ca831bc321dedf5549a7b0;28;2678;Categoria - 028;Sub-categoria - 02678
74bcc2883548d9670d818852ea89bc10a2876d9e598404152b3d3344e2b22228;43;1468;Categoria - 043;Sub-categoria - 01468
752ad1e02769694f63f31a7a16106115565f050a055a019f37015dbf3fd4b2cd;29;954;Categoria - 029;Sub-categoria - 00954
e834d324eb5b3ef42bbdb1d0b14657145f0ecb6f32a660ee0fe2c2f9a65ad826;41;2236;Categoria - 041;Sub-categoria - 02236
ca3b0a51ec3a57ca41f2254ef959db3f83bc62a1d86ebefd375a92d95266e7de;4;1439;Categoria - 004;Sub-categoria - 01439
d6fd341f1a5a2e9a671c1529573448138acf39479af830062a391227b94168e0;43;1205;Categoria - 043;Sub-categoria - 01205
d77d3515489c53ac911764e2d5ebda427c97af2e9e4d8fd7d2f6bb89f908638f;35;2037;Categoria - 035;Sub-categoria - 02037
19c4eafd8744a670c9c58db06422a03e2dbb551633892b7d959f59af49953f1b;4;696;Categoria - 004;Sub-categoria - 00696
5a1a9c8d58010d6d6890308cf1a80b6a4688b1292c2dbba4faf270684292deed;27;1381;Categoria - 027;Sub-categoria - 01381
fd9d5c3770255764dfb4dc98afb6a409bccf4bc652f25348df14cf5030f838e6;27;2869;Categoria - 027;Sub-categoria - 02869
ef5e793fc3e56b12d3f7b60a8d24c4446c2f899d0b153f23f22a73e588d07e9b;9;2387;Categoria - 009;Sub-categoria - 02387
c3e79541a5ee0922ec45f8b4baf667a8b53001fdd702b30a33f3cb6f9bdfa137;4;74;Categoria - 004;Sub-categoria - 00074
9de8da94e04ffb48ef5ddb76c8cefe46510131b01935387fcfde9696b92e7e44;25;1762;Categoria - 025;Sub-categoria - 01762
4e3f3fd2cd859d4e556b1116b046aed7804d992c37310960785e485b73665cad;43;2230;Categoria - 043;Sub-categoria - 02230
d6ec145d28ccc123149454904a2d59108c8ed87bcf7698958f959456f6593436;10;47;Categoria - 010;Sub-categoria - 00047
b2a7c4f1fd25c74f7a217cb7816754f8abf0b9846afed4a5003c3b0c6699547f;43;1665;Categoria - 043;Sub-categoria - 01665
db0ed3c2019bcf16fd714360db8c5faad6d3d7dd2787bd27a0e8f7caeae20a2e;27;276;Categoria - 027;Sub-categoria - 00276
da359a92a60cdf2117a78ee4f9a622cf1ce47a99658e54a25a75d9d040eeb0be;18;1902;Categoria - 018;Sub-categoria - 01902
d78d7418b4aa431ce56d607526cf54b269abbe2a073b3e0c5e7aeae10142910a;18;1237;Categoria - 018;Sub-categoria - 01237
526a9763212580fe0b49cb1d91f0193bd231411bffb989e26e8c48f3396de738;9;1376;Categoria - 009;Sub-categoria - 01376
92faba336cea2bebdae368ffaf5a12b4eb607eef9511edad3f1d2f4f86cae40a;10;1355;Categoria - 010;Sub-categoria - 01355
dd022f4d63d85932edb3b4a777ac9165f3405d9b97e21030e31570d58b57c354;22;1458;Categoria - 022;Sub-categoria - 01458
b2885a1498e6080454aaf2a371daf7f2eac50640f178f208be88995254bf48c8;34;3246;Categoria - 034;Sub-categoria - 03246
843cc1a134b7713c7033366ae826bc003803b847ef5b402faa6830a32729be70;18;1856;Categoria - 018;Sub-categoria - 01856
bff53a2cae468d83a58c7e90124ccc7a39872cae228a566e02829b9ab39d5ed1;15;60;Categoria - 015;Sub-categoria - 00060
3f08d550f03c54f389124b97cd329b2c017f6cede576c78cfe2b109f1687655e;28;1420;Categoria - 028;Sub-categoria - 01420
0c3bb7ebacb15d804990787649394fb3a5f2e48a3300e32e65e5372a1b25204a;34;2027;Categoria - 034;Sub-categoria - 02027
497431f5ce5a392dfaca0759a2c23db38c480f2634a71aa3cdaf706bf958244e;21;1537;Categoria - 021;Sub-categoria - 01537
8a740a98502f9a7703928494c2bec1a54f4416268de01165535c73fb7d876af0;35;2926;Categoria - 035;Sub-categoria - 02926
2f519e58b687ea01b97d722821a63759b7c4d5c0e611f23d8a463ff8857c6cb4;24;1428;Categoria - 024;Sub-categoria - 01428
927de077864131e41d593222689647b079f5e1d5f2d2a82e52c0f189d0ceea01;35;1929;Categoria - 035;Sub-categoria - 01929
cbbea275b93439248343eda8c7c3c20261e79f82b7fed9d84a58dbc0ad20ecd0;35;443;Categoria - 035;Sub-categoria - 00443
2f01fddf2fb1cdb6e6a7a36591fddb74e4ecc7d7c6754b346fa3c0efbc3e5934;34;3235;Categoria - 034;Sub-categoria - 03235
40b0bbbe798d3dd5c2413bd466db651fca1c0a1d9737458dd9fb7b8cf20ae6a9;34;1082;Categoria - 034;Sub-categoria - 01082
ed9ec727555bc311b5ed898036a48b2a73b6ef17ff4d1ba6a9430bda59e8254b;9;370;Categoria - 009;Sub-categoria - 00370
11ecdc1a69fd22a3773e10e6a0a5fb976d9a395603fe9c2c2225b04caef0f939;25;2424;Categoria - 025;Sub-categoria - 02424
35fb8fe8174546ff97e61a962a41f7278ea4620b93d72b72dae2b2435cb14564;25;2962;Categoria - 025;Sub-categoria - 02962
feac386a2f30be47ed2781da33c0b469be369288021e8d1fe7c862379ae827a2;18;1289;Categoria - 018;Sub-categoria - 01289
45efe45a4a5cc389963076aee83f7837fb7cc527d6fb70fc12392da76b555b0d;4;726;Categoria - 004;Sub-categoria - 00726
5c84e2436f42e4b854c371e4fd0fd8cc9cf71778e2cbba6a9a698f8db7ca09ea;18;805;Categoria - 018;Sub-categoria - 00805
cd5b5da077ad6a949b5d3cb44cc4f793ba693f0301fb6dda955291cdce8bf360;29;565;Categoria - 029;Sub-categoria - 00565
e1f9812a6cbaba55848929f4080fd7ec9ddc2f314d86025017cd91e2475308b2;43;1175;Categoria - 043;Sub-categoria - 01175
5bc0bb6cfdd8f547a2ec054b447fbddfb20c029e711d69f6b6048b58f1d471bb;18;2460;Categoria - 018;Sub-categoria - 02460
db8c02cd3e7d814c6eff44230d0343213018c08ba5a60f1a32b9a00107a0c3b3;9;3263;Categoria - 009;Sub-categoria - 03263
473e4eb486e39449dd92e1c5f3c57dc8d05cae3b545f8f43bd492095949ab2fe;18;1918;Categoria - 018;Sub-categoria - 01918
8af873507e2ab9da9427e047633c7153c96d530f5d1c9744a0b64d622660bd24;24;333;Categoria - 024;Sub-categoria - 00333
b3a3f3a95717cf5baec9f933bf265af3a3124fa459a9a7bff5049aa5c8d0989f;18;2505;Categoria - 018;Sub-categoria - 02505
062d575f7ce09417dcbd00669bad28b66c0a9156944b7ecc00bbd0ca9122e086;27;889;Categoria - 027;Sub-categoria - 00889
